COG,departement,commune,population,Pop_in_QPV_pct,Total_QPV,logements_sociaux_pct,Subventions_parHab,places_migrants_p1k,Total_places_migrants,Number_of_Mosques,Mosque_p100k,Insécurité_Score,Immigration_Score,Islamisation_Score,Défrancisation_Score,Wokisme_Score
64050,64,Arrast-Larrebieu,92,0.0,0,0.0,26.0,0.0,0,0,0.0,12,37,18,74,19
64051,64,Arraute-Charritte,435,0.0,0,0.0,26.0,0.0,0,0,0.0,20,37,18,74,19
64052,64,Arricau-Bordes,105,0.0,0,8.0,10.4,0.0,0,0,0.0,27,37,18,74,23
64053,64,Arrien,198,0.0,0,0.0,10.4,0.0,0,0,0.0,19,37,18,74,15
64054,64,Arros-de-Nay,816,0.0,0,0.0,13.1,0.0,0,0,0.0,31,37,18,74,15
64056,64,Arrosès,136,0.0,0,0.0,10.4,0.0,0,0,0.0,19,37,18,74,15
64057,64,Arthez-de-Béarn,1829,0.0,0,5.0,37.4,0.0,0,0,0.0,37,37,18,74,28
64058,64,Arthez-d'Asson,458,0.0,0,0.0,10.7,0.0,0,0,0.0,26,37,18,74,15
64059,64,Artigueloutan,1100,0.0,0,5.0,29.5,0.0,0,0,0.0,34,37,18,74,26
64060,64,Artiguelouve,2025,0.0,0,9.0,34.6,0.0,0,0,0.0,35,37,18,74,32
64061,64,Artix,3446,0.0,0,16.0,48.6,0.0,0,0,0.0,87,37,18,108,43
64062,64,Arudy,2238,0.0,0,3.0,12.7,0.0,0,0,0.0,45,37,18,74,19
64063,64,Arzacq-Arraziguet,1052,0.0,0,12.0,30.5,0.0,0,0,0.0,35,37,18,74,34
64064,64,Asasp-Arros,492,0.0,0,0.0,21.5,0.0,0,0,0.0,34,37,18,74,18
64065,64,Ascain,4561,0.0,0,9.0,71.2,0.0,0,0,0.0,41,37,18,74,42
64066,64,Ascarat,344,0.0,0,0.0,26.0,0.0,0,0,0.0,27,37,18,74,19
64067,64,Assat,2055,0.0,0,3.0,10.7,0.0,0,0,0.0,39,37,18,74,18
64068,64,Asson,1997,0.0,0,1.0,10.7,0.0,0,0,0.0,94,37,18,133,16
64069,64,Aste-Béon,225,0.0,0,3.0,12.7,0.0,0,0,0.0,12,37,18,74,19
64070,64,Astis,350,0.0,0,0.0,15.7,0.0,0,0,0.0,24,37,18,74,16
64071,64,Athos-Aspis,211,0.0,0,0.0,20.9,0.0,0,0,0.0,20,37,18,74,18
64072,64,Aubertin,662,0.0,0,0.0,36.5,0.0,0,0,0.0,28,37,18,74,22
64073,64,Aubin,266,0.0,0,0.0,15.7,0.0,0,0,0.0,21,37,18,74,16
64074,64,Aubous,45,0.0,0,0.0,15.7,0.0,0,0,0.0,8,37,18,74,16
64075,64,Audaux,168,0.0,0,0.0,20.9,0.0,0,0,0.0,19,37,18,74,18
64077,64,Auga,185,0.0,0,0.0,15.7,0.0,0,0,0.0,12,37,18,74,16
64078,64,Auriac,234,0.0,0,0.0,15.7,0.0,0,0,0.0,28,37,18,74,16
64079,64,Aurions-Idernes,108,0.0,0,0.0,10.4,0.0,0,0,0.0,19,37,18,74,15
64080,64,Aussevielle,833,0.0,0,0.0,42.1,0.0,0,0,0.0,27,37,18,74,24
64081,64,Aussurucq,235,0.0,0,0.0,26.0,0.0,0,0,0.0,23,37,18,74,19
64082,64,Auterrive,143,0.0,0,0.0,20.9,0.0,0,0,0.0,16,37,18,74,18
64083,64,Autevielle-Saint-Martin-Bideren,213,0.0,0,0.0,20.9,0.0,0,0,0.0,28,37,18,74,18
64084,64,Aydie,134,0.0,0,0.0,15.7,0.0,0,0,0.0,12,37,18,74,16
64085,64,Aydius,103,0.0,0,0.0,21.5,0.0,0,0,0.0,22,37,18,74,18
64086,64,Ayherre,1133,0.0,0,1.0,70.2,0.0,0,0,0.0,30,37,18,74,33
64087,64,Baigts-de-Béarn,867,0.0,0,9.0,26.9,0.0,0,0,0.0,33,37,18,74,29
64088,64,Balansun,313,0.0,0,0.0,26.9,0.0,0,0,0.0,24,37,18,74,19
64089,64,Baleix,131,0.0,0,0.0,10.4,0.0,0,0,0.0,17,37,18,74,15
64090,64,Baliracq-Maumusson,117,0.0,0,0.0,15.7,0.0,0,0,0.0,20,37,18,74,16
64091,64,Baliros,504,0.0,0,0.0,10.7,0.0,0,0,0.0,27,37,18,74,15
64092,64,Banca,355,0.0,0,0.0,26.0,0.0,0,0,0.0,24,37,18,74,19
64093,64,Barcus,645,0.0,0,4.0,26.0,0.0,0,0,0.0,29,37,18,74,23
64094,64,Bardos,1905,0.0,0,0.0,26.0,0.0,0,0,0.0,32,37,18,74,19
64095,64,Barinque,584,0.0,0,0.0,18.7,0.0,0,0,0.0,28,37,18,74,17
64096,64,Barraute-Camu,187,0.0,0,0.0,20.9,0.0,0,0,0.0,22,37,18,74,18
64097,64,Barzun,627,0.0,0,0.0,13.4,0.0,0,0,0.0,26,37,18,74,15
