departement,population,Total_FdS_Insécurité,Total_FdS_Immigration,Total_FdS_Islamisme,Total_FdS_Défrancisation,Total_FdS_Wokisme,Total_Mosques,Mosques_per_100k,Total_QPV,Pop_in_QPV,Pop_in_QPV_pct,Crime_Coups_et_blessures_volontaires_p1k,Crime_Coups_et_blessures_volontaires_intrafamiliaux_p1k,Crime_Autres_coups_et_blessures_volontaires_p1k,Crime_Violences_sexuelles_p1k,Crime_Vols_avec_armes_p1k,Crime_Vols_violents_sans_arme_p1k,Crime_Vols_sans_violence_contre_des_personnes_p1k,Crime_Cambriolages_de_logement_p1k,Crime_Vols_de_véhicules_p1k,Crime_Vols_dans_les_véhicules_p1k,Crime_Vols_d_accessoires_sur_véhicules_p1k,Crime_Destructions_et_dégradations_volontaires_p1k,Crime_Usage_de_stupéfiants_p1k,Crime_Usage_de_stupéfiants_AFD_p1k,Crime_Trafic_de_stupéfiants_p1k,Crime_Escroqueries_p1k,Crime_Homicides_p100k,Crime_Tentatives_d_homicides_p100k,Prenom_Traditionnel_pct,Prenom_Moderne_pct,Prenom_Inventé_pct,Prenom_Européen_pct,Prenom_Musulman_pct,Prenom_Africain_pct,Prenom_Asiatique_pct,FdS_Insécurité_per_1k,FdS_Immigration_per_1k,FdS_Islamisme_per_1k,FdS_Défrancisation_per_1k,FdS_Wokisme_per_1k
78,1470778,145,62,31,36,16,72,4.895,22,107230,7.291,4.0632,2.6455,1.4176,1.419,0.0802,0.4827,6.6897,6.4342,2.1145,2.2512,2.0227,6.6393,4.9858,3.5879,0.4963,6.5578,0.6799,4.4194,33.02,3.12,11.67,22.06,34.86,6.8,0.24,0.099,0.042,0.021,0.024,0.011
79,375415,2,1,0,3,1,6,1.598,5,8931,2.379,3.7718,2.3174,1.4544,1.9712,0.0479,0.2024,4.0062,5.4602,1.1827,1.5236,0.9882,5.8921,2.741,1.7527,0.3489,4.0169,1.0655,3.4628,44.61,5.58,16.36,30.48,8.18,0.74,0.0,0.005,0.003,0.0,0.008,0.003
80,565540,8,4,0,3,2,14,2.476,10,38863,6.872,6.233,3.8883,2.3447,2.4773,0.0707,0.4916,7.0693,3.8841,1.7523,3.4586,1.3545,9.5873,3.57,1.4199,0.5623,5.333,0.5305,4.4206,48.44,2.41,16.76,24.29,12.5,1.56,0.0,0.014,0.007,0.0,0.005,0.004
81,396168,10,4,4,7,0,14,3.534,11,20777,5.244,4.021,2.2894,1.7316,1.7467,0.0353,0.2196,4.2684,5.4303,0.6967,1.2469,0.5301,6.732,3.289,2.2465,0.6386,5.3386,1.2621,2.2718,44.2,4.14,15.47,29.01,11.88,0.83,0.28,0.025,0.01,0.01,0.018,0.0
82,264924,12,6,4,1,2,10,3.775,5,11309,4.269,4.2163,2.5819,1.6344,1.6042,0.0151,0.2189,4.4088,6.9467,1.1022,1.7363,0.7776,6.0357,1.91,1.1664,0.2076,5.5903,1.5099,2.6423,36.31,4.76,14.88,32.14,17.86,1.79,0.0,0.045,0.023,0.015,0.004,0.008
83,1108364,50,20,7,10,5,33,2.977,23,65566,5.916,5.7707,3.4718,2.2989,1.6457,0.0803,0.4935,8.9943,5.5373,2.2105,3.5331,0.9852,9.1558,4.928,3.1172,1.1197,7.0302,2.3458,4.4209,32.7,3.23,14.82,31.72,21.92,1.89,0.45,0.045,0.018,0.006,0.009,0.005
84,568702,54,32,19,20,4,33,5.803,23,70330,12.367,5.2506,2.6323,2.6182,1.521,0.1073,0.517,8.0218,8.0655,2.1452,3.7577,1.2309,8.6302,6.9685,5.08,1.6195,6.2142,1.4067,6.1544,31.5,3.15,13.05,27.67,29.47,2.14,0.22,0.095,0.056,0.033,0.035,0.007
85,706343,16,7,1,10,5,3,0.425,4,7748,1.097,3.0495,1.8136,1.2359,1.6493,0.0311,0.1331,4.6748,4.3908,1.3336,1.7414,0.9839,6.62,1.8801,0.5521,0.2959,5.0344,1.5573,5.663,46.5,4.83,15.67,28.33,7.83,0.83,0.5,0.023,0.01,0.001,0.014,0.007
86,438688,10,3,1,4,1,4,0.912,6,26587,6.061,3.98,2.4026,1.5774,1.9558,0.0684,0.367,5.3865,6.6341,1.1899,2.8631,1.2993,6.2892,2.0265,0.9323,0.4536,5.2178,1.5957,4.1031,45.19,3.13,13.87,28.41,13.87,3.13,0.22,0.023,0.007,0.002,0.009,0.002
87,372438,4,2,1,3,3,9,2.417,9,25130,6.747,3.8557,2.2205,1.6352,1.6459,0.0806,0.2175,5.4291,4.7885,0.9451,2.5884,0.9236,7.3945,2.8488,1.7936,0.4887,5.4184,0.8055,3.759,45.64,5.13,12.82,24.1,18.72,3.33,0.26,0.011,0.005,0.003,0.008,0.008
